INSTITUCIÓN EDUCATIVA;NIVEL_MCER;FECHA
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A1;2018
Concejo Municipal El Porvenir;B1;2018
Concejo Municipal El Porvenir;B1;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;B2;2018
Concejo Municipal El Porvenir;A1;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A1;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A2;2018
Concejo Municipal El Porvenir;A1;2018
Concejo Municipal El Porvenir;B2;2018
Concejo Municipal El Porvenir;B1;2018
Domingo Savio;A1;2018
Domingo Savio;A2;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A2;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A2;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
